v1	V(n001)	V(n002)	I(D1)	I(R1)	I(V1)
1.240000000000001e+000	1.240000e+000	6.733659e-001	6.733659e-004	6.733659e-004	-6.733659e-004
1.250000000000001e+000	1.250000e+000	6.827344e-001	6.827344e-004	6.827344e-004	-6.827344e-004
1.260000000000001e+000	1.260000e+000	6.921110e-001	6.921110e-004	6.921110e-004	-6.921110e-004
1.270000000000001e+000	1.270000e+000	7.014953e-001	7.014954e-004	7.014954e-004	-7.014954e-004
1.280000000000001e+000	1.280000e+000	7.108874e-001	7.108874e-004	7.108874e-004	-7.108874e-004
1.290000000000001e+000	1.290000e+000	7.202868e-001	7.202868e-004	7.202868e-004	-7.202868e-004
1.300000000000001e+000	1.300000e+000	7.296935e-001	7.296934e-004	7.296934e-004	-7.296934e-004
1.310000000000001e+000	1.310000e+000	7.391073e-001	7.391073e-004	7.391073e-004	-7.391073e-004
1.320000000000001e+000	1.320000e+000	7.485279e-001	7.485279e-004	7.485279e-004	-7.485279e-004
1.330000000000001e+000	1.330000e+000	7.579554e-001	7.579554e-004	7.579554e-004	-7.579554e-004
1.340000000000001e+000	1.340000e+000	7.673895e-001	7.673895e-004	7.673895e-004	-7.673895e-004
1.350000000000001e+000	1.350000e+000	7.768301e-001	7.768301e-004	7.768301e-004	-7.768301e-004
1.360000000000001e+000	1.360000e+000	7.862770e-001	7.862769e-004	7.862769e-004	-7.862769e-004
1.370000000000001e+000	1.370000e+000	7.957301e-001	7.957300e-004	7.957300e-004	-7.957300e-004
1.380000000000001e+000	1.380000e+000	8.051892e-001	8.051892e-004	8.051892e-004	-8.051892e-004
1.390000000000001e+000	1.390000e+000	8.146542e-001	8.146542e-004	8.146542e-004	-8.146542e-004
1.400000000000001e+000	1.400000e+000	8.241251e-001	8.241251e-004	8.241251e-004	-8.241251e-004
1.410000000000001e+000	1.410000e+000	8.336016e-001	8.336016e-004	8.336016e-004	-8.336016e-004
1.420000000000001e+000	1.420000e+000	8.430836e-001	8.430837e-004	8.430837e-004	-8.430837e-004
1.430000000000001e+000	1.430000e+000	8.525711e-001	8.525712e-004	8.525712e-004	-8.525712e-004
1.440000000000001e+000	1.440000e+000	8.620640e-001	8.620640e-004	8.620640e-004	-8.620640e-004
1.450000000000001e+000	1.450000e+000	8.715621e-001	8.715620e-004	8.715620e-004	-8.715620e-004
1.460000000000001e+000	1.460000e+000	8.810652e-001	8.810652e-004	8.810652e-004	-8.810652e-004
1.470000000000001e+000	1.470000e+000	8.905734e-001	8.905734e-004	8.905734e-004	-8.905734e-004
1.480000000000001e+000	1.480000e+000	9.000865e-001	9.000865e-004	9.000865e-004	-9.000865e-004
1.490000000000001e+000	1.490000e+000	9.096044e-001	9.096045e-004	9.096045e-004	-9.096045e-004
1.500000000000000e+000	1.500000e+000	9.191271e-001	9.191271e-004	9.191271e-004	-9.191271e-004
